Id,Fecha,Importe,Usuario,Tasacion
1,2025-10-26,1639.12,Usuario20 Apellido20,1
2,2025-09-27,2776.69,Usuario17 Apellido17,2
3,2025-10-10,3368.06,Usuario12 Apellido12,3
4,2025-08-13,4840.70,Usuario6 Apellido6,4
5,2025-09-07,4029.91,Usuario20 Apellido20,5
6,2025-09-14,4341.80,Usuario6 Apellido6,6
7,2025-03-07,1452.01,Usuario13 Apellido13,7
8,2025-09-01,1288.51,Usuario12 Apellido12,8
9,2025-07-13,761.65,Usuario19 Apellido19,9
10,2025-06-30,4672.16,Usuario7 Apellido7,10
11,2025-07-14,3395.93,Usuario14 Apellido14,11
12,2025-01-28,1086.90,Usuario3 Apellido3,12
13,2025-02-27,1828.62,Usuario17 Apellido17,13
14,2025-02-04,4584.18,Usuario3 Apellido3,14
15,2025-10-17,4246.46,Usuario19 Apellido19,15
16,2025-04-23,4073.07,Usuario19 Apellido19,16
17,2025-01-23,823.82,Usuario8 Apellido8,17
18,2025-04-12,3427.75,Usuario16 Apellido16,18
19,2025-10-08,604.48,Usuario1 Apellido1,19
20,2025-10-25,2424.75,Usuario6 Apellido6,20
21,2025-06-10,1923.34,Usuario17 Apellido17,21
22,2025-11-01,1822.00,Usuario5 Apellido5,22
23,2025-02-13,1281.56,Usuario11 Apellido11,23
24,2025-01-05,3540.92,Usuario15 Apellido15,24
25,2025-05-20,3352.26,Usuario9 Apellido9,25
26,2025-10-15,2502.04,Usuario1 Apellido1,26
27,2025-07-30,2618.56,Usuario18 Apellido18,27
28,2025-08-08,4565.18,Usuario4 Apellido4,28
29,2025-07-01,2312.48,Usuario4 Apellido4,29
30,2025-06-24,1781.52,Usuario14 Apellido14,30
31,2025-04-06,4481.44,Usuario11 Apellido11,31
32,2025-04-06,1556.59,Usuario8 Apellido8,32
33,2025-09-08,3921.32,Usuario9 Apellido9,33
34,2025-01-06,1559.92,Usuario16 Apellido16,34
35,2025-02-21,4181.70,Usuario19 Apellido19,35
36,2025-02-10,2648.61,Usuario7 Apellido7,36
37,2025-06-27,3010.24,Usuario3 Apellido3,37
38,2025-07-15,2206.44,Usuario16 Apellido16,38
39,2025-07-19,2466.88,Usuario2 Apellido2,39
40,2025-09-11,2971.48,Usuario1 Apellido1,40
41,2025-10-26,3112.34,Usuario2 Apellido2,41
42,2025-08-25,1703.61,Usuario16 Apellido16,42
43,2025-08-05,4838.95,Usuario5 Apellido5,43
44,2025-02-11,4102.33,Usuario12 Apellido12,44
45,2025-09-01,4972.28,Usuario2 Apellido2,45
46,2025-07-11,1942.94,Usuario6 Apellido6,46
47,2025-07-05,1747.48,Usuario16 Apellido16,47
48,2025-11-01,4785.16,Usuario9 Apellido9,48
49,2025-10-11,3510.15,Usuario20 Apellido20,49
50,2025-01-11,2766.55,Usuario2 Apellido2,50
51,2025-02-23,3242.15,Usuario8 Apellido8,51
52,2025-05-26,2276.43,Usuario5 Apellido5,52
53,2025-09-21,1807.60,Usuario15 Apellido15,53
54,2025-06-23,3415.79,Usuario19 Apellido19,54
55,2025-02-04,1936.56,Usuario6 Apellido6,55
56,2025-07-16,4043.07,Usuario13 Apellido13,56
57,2025-09-21,1449.37,Usuario3 Apellido3,57
58,2025-10-28,4039.61,Usuario20 Apellido20,58
59,2025-08-31,2265.36,Usuario5 Apellido5,59
60,2025-04-30,2270.15,Usuario12 Apellido12,60
61,2025-01-10,1119.29,Usuario20 Apellido20,61
62,2025-01-17,2403.53,Usuario1 Apellido1,62
63,2025-09-30,2165.37,Usuario1 Apellido1,63
64,2025-03-01,4524.21,Usuario3 Apellido3,64
65,2025-04-08,4973.67,Usuario17 Apellido17,65
66,2025-04-30,3281.07,Usuario5 Apellido5,66
67,2025-08-24,4585.43,Usuario12 Apellido12,67
68,2025-02-26,2827.58,Usuario7 Apellido7,68
69,2025-01-15,1976.25,Usuario16 Apellido16,69
70,2025-06-24,646.88,Usuario3 Apellido3,70
71,2025-10-10,1231.00,Usuario5 Apellido5,71
72,2025-10-29,819.71,Usuario8 Apellido8,72
73,2025-08-29,2003.01,Usuario1 Apellido1,73
74,2025-05-08,2562.38,Usuario12 Apellido12,74
75,2025-10-03,2638.83,Usuario12 Apellido12,75
76,2025-04-25,3522.58,Usuario11 Apellido11,76
77,2025-08-23,910.47,Usuario18 Apellido18,77
78,2025-10-24,3619.65,Usuario12 Apellido12,78
79,2025-02-25,3743.66,Usuario15 Apellido15,79
80,2025-04-04,908.50,Usuario14 Apellido14,80
81,2025-07-04,805.44,Usuario19 Apellido19,81
82,2025-08-08,1832.73,Usuario3 Apellido3,82
83,2025-08-09,1828.91,Usuario4 Apellido4,83
84,2025-08-26,3008.51,Usuario9 Apellido9,84
85,2025-08-13,2807.06,Usuario4 Apellido4,85
86,2025-08-09,822.39,Usuario10 Apellido10,86
